offset,Chord,NormalForm,PCsinNormalForm,Measure Number,Measure Beat
96.0,<music21.chord.Chord E-5 A4 E5 E-3 F#4 C4>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",39,3.0
96.125,<music21.chord.Chord F#5 A4 E5 E-3 F#4 C4>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",39,3.250
96.16666666666670,<music21.chord.Chord A4 F#5 E-3 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",39,3.33333333333340
96.25,<music21.chord.Chord E-5 A4 E-3 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",39,3.50
96.5,<music21.chord.Chord E5 A4 E-3 C4>,"[0, 3, 6, 7]","[9, 0, 3, 4]",39,4.0
97.16666666666670,<music21.chord.Chord A4 E-3 C4>,"[0, 3, 6]","[9, 0, 3]",39,0.33333333333340
97.25,<music21.chord.Chord E-5 A4 E-3 C4>,"[0, 3, 6]","[9, 0, 3]",39,0.50
97.5,<music21.chord.Chord C5 G#4 E4>,"[0, 4, 8]","[0, 4, 8]",40,1.0
98.0,<music21.chord.Chord C#5 G#4 C#4>,"[0, 5]","[8, 1]",40,2.0
98.66666666666670,<music21.chord.Chord G#4>,[0],[8],40,3.33333333333340
98.75,<music21.chord.Chord E5 G#3>,"[0, 4]","[4, 8]",40,3.50
99.0,<music21.chord.Chord G#5 E3>,"[0, 4]","[4, 8]",40,4.0
99.75,<music21.chord.Chord B5 C#3>,"[0, 2]","[11, 1]",40,0.50
100.0,<music21.chord.Chord B5 E-6 F#2>,"[0, 4, 7]","[11, 3, 6]",41,1.0
100.5,<music21.chord.Chord B-5 C#6 F3>,"[0, 3, 7]","[10, 1, 5]",41,2.0
101.25,<music21.chord.Chord F#5 B-5 F#3>,"[0, 4]","[6, 10]",41,3.50
101.5,<music21.chord.Chord E5 G#5 B-3>,"[0, 4, 6]","[4, 8, 10]",41,4.0
102.25,<music21.chord.Chord D5 F5 F#4>,"[0, 3, 4]","[2, 5, 6]",41,0.50
102.5,<music21.chord.Chord E-5 F#5 B2>,"[0, 4, 7]","[11, 3, 6]",42,1.0
103.0,<music21.chord.Chord E-5 F#5 F3>,"[0, 2, 3]","[3, 5, 6]",42,2.0
103.66666666666700,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",42,3.33333333333400
103.75,<music21.chord.Chord E-5 F#5 F#3>,"[0, 3]","[3, 6]",42,3.50
103.875,<music21.chord.Chord E-5 F#5 B-3 F#3>,"[0, 3, 7]","[3, 6, 10]",42,3.750
104.0,<music21.chord.Chord E-5 F#5 G#3>,"[0, 3, 5]","[3, 6, 8]",42,4.0
104.66666666666700,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",42,0.33333333333400
104.75,<music21.chord.Chord E-5 F#5 F#3>,"[0, 3]","[3, 6]",42,0.50
105.0,<music21.chord.Chord D4>,[0],[2],43,1.0
105.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",43,2.0
106.16666666666700,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",43,3.33333333333400
106.25,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",43,3.50
106.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",43,4.0
107.16666666666700,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",43,0.33333333333400
107.25,<music21.chord.Chord F#4 B4 D5 F#5 D4>,"[0, 3, 7]","[11, 2, 6]",43,0.50
107.5,<music21.chord.Chord C#4>,[0],[1],44,1.0
107.66666666666700,<music21.chord.Chord D4>,[0],[2],44,1.33333333333400
107.875,<music21.chord.Chord C#4>,[0],[1],44,1.750
108.0,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",44,2.0
108.66666666666700,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",44,3.33333333333400
108.75,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",44,3.50
109.0,<music21.chord.Chord F#4 B4 D5 F#5 D4>,"[0, 3, 7]","[11, 2, 6]",44,4.0
109.66666666666700,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",44,0.33333333333400
109.75,<music21.chord.Chord F#4 B4 D5 F#5 E4>,"[0, 3, 5, 7]","[11, 2, 4, 6]",44,0.50
110.0,<music21.chord.Chord D4>,[0],[2],45,1.0
110.125,<music21.chord.Chord E-4>,[0],[3],45,1.250
110.33333333333300,<music21.chord.Chord D4>,[0],[2],45,1.66666666666600
110.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",45,2.0
111.16666666666700,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",45,3.33333333333400
111.25,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",45,3.50
111.5,<music21.chord.Chord A5 C#5 E5 B-4 B3>,"[0, 1, 2, 4, 7]","[9, 10, 11, 1, 4]",45,4.0
112.16666666666700,<music21.chord.Chord C#5 E5 B3 B-4>,"[0, 1, 3, 6]","[10, 11, 1, 4]",45,0.33333333333400
112.25,<music21.chord.Chord G5 C#5 E5 B3 B-4>,"[0, 1, 3, 6, 9]","[10, 11, 1, 4, 7]",45,0.50
112.5,<music21.chord.Chord E-5 F#5 B4>,"[0, 4, 7]","[11, 3, 6]",46,1.0
113.0,<music21.chord.Chord E-5 F#5 F4>,"[0, 2, 3]","[3, 5, 6]",46,2.0
113.66666666666700,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",46,3.33333333333400
113.75,<music21.chord.Chord E-5 F#5 F#4>,"[0, 3]","[3, 6]",46,3.50
113.875,<music21.chord.Chord A4 F#4>,"[0, 3]","[6, 9]",46,3.750
114.0,<music21.chord.Chord G4>,[0],[7],46,4.0
114.75,<music21.chord.Chord F#4>,[0],[6],46,0.50
115.0,<music21.chord.Chord C5 F#5 A5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",47,1.0
115.5,<music21.chord.Chord B4 E5 G#5 E4>,"[0, 4, 7]","[4, 8, 11]",47,2.0
116.25,<music21.chord.Chord C#5 E5 G#5 B-3>,"[0, 2, 5, 8]","[8, 10, 1, 4]",47,3.50
116.5,<music21.chord.Chord D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",47,4.0
117.25,<music21.chord.Chord F#5 B5 A3>,"[0, 3, 5]","[6, 9, 11]",47,0.50
117.5,<music21.chord.Chord B4 F5 B5 G#3>,"[0, 3, 6]","[5, 8, 11]",48,1.0
118.0,<music21.chord.Chord B4 E5 B5 G3>,"[0, 3, 7]","[4, 7, 11]",48,2.0
118.75,<music21.chord.Chord B4 C#5 B5 F3>,"[0, 2, 6]","[11, 1, 5]",48,3.50
119.0,<music21.chord.Chord B4 D5 B5 F#3>,"[0, 3, 7]","[11, 2, 6]",48,4.0
120.0,<music21.chord.Chord G4 B4 C#5 E4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",49,1.0
120.5,<music21.chord.Chord G4 B4 C#5 E4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",49,2.0
121.25,<music21.chord.Chord G4 B4 E-5 D4>,"[0, 4, 7, 8]","[7, 11, 2, 3]",49,3.50
121.5,<music21.chord.Chord E5 G4 B4 C#4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",49,4.0
122.16666666666700,<music21.chord.Chord G4 B4 C#4>,"[0, 4, 6]","[7, 11, 1]",49,0.33333333333400
122.25,<music21.chord.Chord G#5 G4 B4 C#4>,"[0, 1, 4, 6]","[7, 8, 11, 1]",49,0.50
122.5,<music21.chord.Chord B-4 D5 F#3 E4>,"[0, 2, 4, 8]","[2, 4, 6, 10]",50,1.0
123.0,<music21.chord.Chord B-4 C#5 F#3 E4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",50,2.0
123.75,<music21.chord.Chord B-4 D5 F#3 E4>,"[0, 2, 4, 8]","[2, 4, 6, 10]",50,3.50
124.0,<music21.chord.Chord F#4 B4 B3 D4>,"[0, 3, 7]","[11, 2, 6]",50,4.0
125.0,<music21.chord.Chord B3>,[0],[11],51,1.0
125.125,<music21.chord.Chord C#4>,[0],[1],51,1.250
125.33333333333300,<music21.chord.Chord B3>,[0],[11],51,1.66666666666600
125.5,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",51,2.0
126.16666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",51,3.33333333333400
126.25,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",51,3.50
126.5,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",51,4.0
127.16666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",51,0.33333333333400
127.25,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",51,0.50
127.5,<music21.chord.Chord G#3>,[0],[8],52,1.0
127.66666666666700,<music21.chord.Chord B-3>,[0],[10],52,1.33333333333400
127.875,<music21.chord.Chord G#3>,[0],[8],52,1.750
128.0,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",52,2.0
128.66666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",52,3.33333333333400
128.75,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",52,3.50
129.0,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",52,4.0
129.66666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",52,0.33333333333400
129.75,<music21.chord.Chord E-4 F#4 B4 E-5 B3>,"[0, 4, 7]","[11, 3, 6]",52,0.50
130.0,<music21.chord.Chord B-3>,[0],[10],53,1.0
130.125,<music21.chord.Chord B3>,[0],[11],53,1.250
130.33333333333300,<music21.chord.Chord B-3>,[0],[10],53,1.66666666666600
130.5,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",53,2.0
131.16666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",53,3.33333333333400
131.25,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",53,3.50
131.5,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",53,4.0
132.16666666666700,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",53,0.33333333333400
132.25,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",53,0.50
132.5,<music21.chord.Chord F#3>,[0],[6],54,1.0
133.0,<music21.chord.Chord D4 F#3>,"[0, 4]","[2, 6]",54,2.0
133.66666666666700,<music21.chord.Chord F#3>,[0],[6],54,3.33333333333400
133.75,<music21.chord.Chord E-4 F#3>,"[0, 3]","[3, 6]",54,3.50
133.875,<music21.chord.Chord E-4>,[0],[3],54,3.750
134.0,<music21.chord.Chord F#4>,[0],[6],54,4.0
134.75,<music21.chord.Chord B4>,[0],[11],54,0.50
135.0,<music21.chord.Chord A4 F#5 E-3>,"[0, 3, 6]","[3, 6, 9]",55,1.0
135.5,<music21.chord.Chord E5 A4 F#4 C4 E-3>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",55,2.0
136.0,<music21.chord.Chord E-5 A4 E5 E-3 F#4 C4>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",55,3.0
136.125,<music21.chord.Chord F#5 A4 E5 E-3 F#4 C4>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",55,3.250
136.16666666666700,<music21.chord.Chord A4 F#5 E-3 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",55,3.33333333333400
136.25,<music21.chord.Chord E-5 A4 E-3 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",55,3.50
136.5,<music21.chord.Chord E5 A4 E-3 C4>,"[0, 3, 6, 7]","[9, 0, 3, 4]",55,4.0
137.16666666666700,<music21.chord.Chord A4 E-3 C4>,"[0, 3, 6]","[9, 0, 3]",55,0.33333333333400
137.25,<music21.chord.Chord E-5 A4 E-3 C4>,"[0, 3, 6]","[9, 0, 3]",55,0.50
137.5,<music21.chord.Chord C5 G#4 E4>,"[0, 4, 8]","[0, 4, 8]",56,1.0
138.0,<music21.chord.Chord C#5 G#4 C#4>,"[0, 5]","[8, 1]",56,2.0
138.66666666666700,<music21.chord.Chord G#4>,[0],[8],56,3.33333333333400
138.75,<music21.chord.Chord E5 G#3>,"[0, 4]","[4, 8]",56,3.50
139.0,<music21.chord.Chord G#5 E3>,"[0, 4]","[4, 8]",56,4.0
139.75,<music21.chord.Chord B5 C#3>,"[0, 2]","[11, 1]",56,0.50
140.0,<music21.chord.Chord B5 E-6 F#2>,"[0, 4, 7]","[11, 3, 6]",57,1.0
140.5,<music21.chord.Chord B-5 C#6 F3>,"[0, 3, 7]","[10, 1, 5]",57,2.0
141.25,<music21.chord.Chord F#5 B-5 F#3>,"[0, 4]","[6, 10]",57,3.50
141.5,<music21.chord.Chord E5 G#5 B-3>,"[0, 4, 6]","[4, 8, 10]",57,4.0
142.25,<music21.chord.Chord D5 F5 F#4>,"[0, 3, 4]","[2, 5, 6]",57,0.50
142.5,<music21.chord.Chord E-5 F#5 B2>,"[0, 4, 7]","[11, 3, 6]",58,1.0
143.0,<music21.chord.Chord E-5 F#5 F3>,"[0, 2, 3]","[3, 5, 6]",58,2.0
143.66666666666700,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",58,3.33333333333400
143.75,<music21.chord.Chord E-5 F#5 F#3>,"[0, 3]","[3, 6]",58,3.50
143.875,<music21.chord.Chord E-5 F#5 B-3 F#3>,"[0, 3, 7]","[3, 6, 10]",58,3.750
144.0,<music21.chord.Chord E-5 F#5 G#3>,"[0, 3, 5]","[3, 6, 8]",58,4.0
144.66666666666700,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",58,0.33333333333400
144.75,<music21.chord.Chord E-5 F#5 F#3>,"[0, 3]","[3, 6]",58,0.50
145.0,<music21.chord.Chord D4>,[0],[2],59,1.0
145.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",59,2.0
146.16666666666700,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",59,3.33333333333400
146.25,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",59,3.50
146.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",59,4.0
147.16666666666700,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",59,0.33333333333400
147.25,<music21.chord.Chord F#4 B4 D5 F#5 D4>,"[0, 3, 7]","[11, 2, 6]",59,0.50
147.5,<music21.chord.Chord C#4>,[0],[1],60,1.0
147.66666666666700,<music21.chord.Chord D4>,[0],[2],60,1.33333333333400
147.875,<music21.chord.Chord C#4>,[0],[1],60,1.750
148.0,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",60,2.0
148.66666666666700,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",60,3.33333333333400
148.75,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",60,3.50
149.0,<music21.chord.Chord F#4 B4 D5 F#5 D4>,"[0, 3, 7]","[11, 2, 6]",60,4.0
149.66666666666700,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",60,0.33333333333400
149.75,<music21.chord.Chord F#4 B4 D5 F#5 E4>,"[0, 3, 5, 7]","[11, 2, 4, 6]",60,0.50
150.0,<music21.chord.Chord D4>,[0],[2],61,1.0
150.125,<music21.chord.Chord E-4>,[0],[3],61,1.250
150.33333333333300,<music21.chord.Chord D4>,[0],[2],61,1.66666666666600
150.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",61,2.0
151.16666666666700,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",61,3.33333333333400
151.25,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",61,3.50
151.5,<music21.chord.Chord A5 C#5 E5 B-4 B3>,"[0, 1, 2, 4, 7]","[9, 10, 11, 1, 4]",61,4.0
152.16666666666700,<music21.chord.Chord C#5 E5 B3 B-4>,"[0, 1, 3, 6]","[10, 11, 1, 4]",61,0.33333333333400
152.25,<music21.chord.Chord G5 C#5 E5 B3 B-4>,"[0, 1, 3, 6, 9]","[10, 11, 1, 4, 7]",61,0.50
152.5,<music21.chord.Chord E-5 F#5 B4>,"[0, 4, 7]","[11, 3, 6]",62,1.0
153.0,<music21.chord.Chord E-5 F#5 F4>,"[0, 2, 3]","[3, 5, 6]",62,2.0
153.66666666666700,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",62,3.33333333333400
153.75,<music21.chord.Chord E-5 F#5 F#4>,"[0, 3]","[3, 6]",62,3.50
153.875,<music21.chord.Chord A4 F#4>,"[0, 3]","[6, 9]",62,3.750
154.0,<music21.chord.Chord G4>,[0],[7],62,4.0
154.75,<music21.chord.Chord F#4>,[0],[6],62,0.50
155.0,<music21.chord.Chord C5 F#5 A5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",63,1.0
155.5,<music21.chord.Chord B4 E5 G#5 E4>,"[0, 4, 7]","[4, 8, 11]",63,2.0
156.25,<music21.chord.Chord C#5 E5 G#5 B-3>,"[0, 2, 5, 8]","[8, 10, 1, 4]",63,3.50
156.5,<music21.chord.Chord D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",63,4.0
157.25,<music21.chord.Chord F#5 B5 A3>,"[0, 3, 5]","[6, 9, 11]",63,0.50
157.5,<music21.chord.Chord B4 F5 B5 G#3>,"[0, 3, 6]","[5, 8, 11]",64,1.0
158.0,<music21.chord.Chord B4 E5 B5 G3>,"[0, 3, 7]","[4, 7, 11]",64,2.0
158.75,<music21.chord.Chord B4 C#5 B5 F3>,"[0, 2, 6]","[11, 1, 5]",64,3.50
159.0,<music21.chord.Chord B4 D5 B5 F#3>,"[0, 3, 7]","[11, 2, 6]",64,4.0
160.0,<music21.chord.Chord G4 B4 C#5 E4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",65,1.0
160.5,<music21.chord.Chord G4 B4 C#5 E4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",65,2.0
161.25,<music21.chord.Chord G4 B4 E-5 D4>,"[0, 4, 7, 8]","[7, 11, 2, 3]",65,3.50
161.5,<music21.chord.Chord E5 G4 B4 C#4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",65,4.0
162.16666666666700,<music21.chord.Chord G4 B4 C#4>,"[0, 4, 6]","[7, 11, 1]",65,0.33333333333400
162.25,<music21.chord.Chord G#5 G4 B4 C#4>,"[0, 1, 4, 6]","[7, 8, 11, 1]",65,0.50
162.5,<music21.chord.Chord B-4 D5 F#3 E4>,"[0, 2, 4, 8]","[2, 4, 6, 10]",66,1.0
163.0,<music21.chord.Chord B-4 C#5 F#3 E4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",66,2.0
163.75,<music21.chord.Chord B-4 D5 F#3 E4>,"[0, 2, 4, 8]","[2, 4, 6, 10]",66,3.50
164.0,<music21.chord.Chord F#4 B4 B3 D4>,"[0, 3, 7]","[11, 2, 6]",66,4.0
165.0,<music21.chord.Chord F#4 A4 B3>,"[0, 3, 5]","[6, 9, 11]",67,1.0
165.5,<music21.chord.Chord F#4 A4 B3>,"[0, 3, 5]","[6, 9, 11]",67,2.0
166.25,<music21.chord.Chord E4 C#5 B3>,"[0, 2, 5]","[11, 1, 4]",67,3.50
166.5,<music21.chord.Chord E-4 B4 B3>,"[0, 4]","[11, 3]",67,4.0
167.25,<music21.chord.Chord E-4 G4 B3>,"[0, 4, 8]","[3, 7, 11]",67,0.50
167.5,<music21.chord.Chord E4 G#4 B3>,"[0, 4, 7]","[4, 8, 11]",68,1.0
168.0,<music21.chord.Chord G#4 B4 B3>,"[0, 3]","[8, 11]",68,2.0
168.75,<music21.chord.Chord E5 G#5 B3>,"[0, 4, 7]","[4, 8, 11]",68,3.50
169.0,<music21.chord.Chord E-5 F#5 B3>,"[0, 4, 7]","[11, 3, 6]",68,4.0
169.75,<music21.chord.Chord C#5 E5 B3>,"[0, 2, 5]","[11, 1, 4]",68,0.50
170.0,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",69,1.0
170.125,<music21.chord.Chord E5 B4 B3>,"[0, 5]","[11, 4]",69,1.250
170.25,<music21.chord.Chord B4 B3>,[0],[11],69,1.50
170.33333333333300,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",69,1.66666666666600
170.45833333333300,<music21.chord.Chord B4 B3>,[0],[11],69,1.91666666666600
170.5,<music21.chord.Chord C#5 A4 B3>,"[0, 2, 4]","[9, 11, 1]",69,2.0
171.25,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",69,3.50
171.5,<music21.chord.Chord E5 C#5 B3>,"[0, 2, 5]","[11, 1, 4]",69,4.0
172.25,<music21.chord.Chord C#5 A4 B3>,"[0, 2, 4]","[9, 11, 1]",69,0.50
172.5,<music21.chord.Chord G#4 B4 B3 E3>,"[0, 4, 7]","[4, 8, 11]",70,1.0
173.0,<music21.chord.Chord G#4 B4 B3 E3>,"[0, 4, 7]","[4, 8, 11]",70,2.0
173.66666666666700,<music21.chord.Chord G#4 B4 E3>,"[0, 4, 7]","[4, 8, 11]",70,3.33333333333400
173.75,<music21.chord.Chord G#4 B4 E4 E3>,"[0, 4, 7]","[4, 8, 11]",70,3.50
173.875,<music21.chord.Chord E4 E3>,[0],[4],70,3.750
174.0,<music21.chord.Chord E-4 E3>,"[0, 1]","[3, 4]",70,4.0
174.66666666666700,<music21.chord.Chord E3>,[0],[4],70,0.33333333333400
174.75,<music21.chord.Chord D4>,[0],[2],70,0.50
175.0,<music21.chord.Chord F5 B4 C#4 G#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",71,1.0
175.5,<music21.chord.Chord F#5 C#5 A4 C#4>,"[0, 3, 7]","[6, 9, 1]",71,2.0
176.16666666666700,<music21.chord.Chord C#4>,[0],[1],71,3.33333333333400
176.25,<music21.chord.Chord G#5 D5 B4 C#4>,"[0, 3, 5, 6]","[8, 11, 1, 2]",71,3.50
176.375,<music21.chord.Chord B5 G#5 D5 C#4 B4>,"[0, 3, 5, 6]","[8, 11, 1, 2]",71,3.750
176.5,<music21.chord.Chord A5 F5 C#5 C#4>,"[0, 4, 8]","[1, 5, 9]",71,4.0
177.16666666666700,<music21.chord.Chord F5 C#4>,"[0, 4]","[1, 5]",71,0.33333333333400
177.25,<music21.chord.Chord G#5 F5 B4 C#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",71,0.50
177.5,<music21.chord.Chord C#5 C#6 G#5 B4 F#4>,"[0, 2, 5, 7]","[6, 8, 11, 1]",72,1.0
178.0,<music21.chord.Chord F#5 C#5 C#6 A4 F#4>,"[0, 3, 7]","[6, 9, 1]",72,2.0
178.66666666666700,<music21.chord.Chord C#5 C#6 F#4>,"[0, 5]","[1, 6]",72,3.33333333333400
178.75,<music21.chord.Chord F5 C#5 C#6 G#4 F#4>,"[0, 4, 5, 7]","[1, 5, 6, 8]",72,3.50
178.875,<music21.chord.Chord F5 G#4 F#4>,"[0, 1, 3]","[5, 6, 8]",72,3.750
179.0,<music21.chord.Chord F#5 A4 F#4>,"[0, 3]","[6, 9]",72,4.0
179.66666666666700,<music21.chord.Chord F#4>,[0],[6],72,0.33333333333400
179.75,<music21.chord.Chord C5 A4 E4>,"[0, 3, 7]","[9, 0, 4]",72,0.50
180.0,<music21.chord.Chord A4 B4 B3 E-4>,"[0, 2, 6]","[9, 11, 3]",73,1.0
180.5,<music21.chord.Chord F5 A4 D4 B3>,"[0, 2, 5, 8]","[9, 11, 2, 5]",73,2.0
181.16666666666700,<music21.chord.Chord A4 B3>,"[0, 2]","[9, 11]",73,3.33333333333400
181.25,<music21.chord.Chord F#5 A4 E-4 B3>,"[0, 3, 6, 8]","[3, 6, 9, 11]",73,3.50
181.375,<music21.chord.Chord F#5 E-4>,"[0, 3]","[3, 6]",73,3.750
181.5,<music21.chord.Chord A5 E-5 C#5 B3>,"[0, 2, 4, 6]","[9, 11, 1, 3]",73,4.0
182.16666666666700,<music21.chord.Chord E-5 B3>,"[0, 4]","[11, 3]",73,0.33333333333400
182.25,<music21.chord.Chord G#5 E-5 B4 B3>,"[0, 3, 7]","[8, 11, 3]",73,0.50
182.5,<music21.chord.Chord F#5 B5 B4 A4 E4>,"[0, 2, 5, 7]","[4, 6, 9, 11]",74,1.0
183.0,<music21.chord.Chord E5 B5 B4 G#4 E4>,"[0, 4, 7]","[4, 8, 11]",74,2.0
183.66666666666700,<music21.chord.Chord B5 B4 E4>,"[0, 5]","[11, 4]",74,3.33333333333400
183.75,<music21.chord.Chord E-5 B5 B4 G4 E4>,"[0, 1, 4, 8]","[3, 4, 7, 11]",74,3.50
183.875,<music21.chord.Chord E-5 B5 G4 E4>,"[0, 1, 4, 8]","[3, 4, 7, 11]",74,3.750
184.0,<music21.chord.Chord B4 B5 E4>,"[0, 5]","[11, 4]",74,4.0
184.5,<music21.chord.Chord B4 B5>,[0],[11],74,0.0
184.66666666666700,<music21.chord.Chord B5>,[0],[11],74,0.33333333333400
184.75,<music21.chord.Chord E5 F4 G#4 B5>,"[0, 1, 4, 7]","[4, 5, 8, 11]",74,0.50
185.0,<music21.chord.Chord F#4 A4 E5 B5 B3>,"[0, 2, 5, 7]","[4, 6, 9, 11]",75,1.0
185.25,<music21.chord.Chord F#4 A4 B3>,"[0, 3, 5]","[6, 9, 11]",75,1.50
185.5,<music21.chord.Chord A4 F#4 B3>,"[0, 3, 5]","[6, 9, 11]",75,2.0
186.25,<music21.chord.Chord C#5 E4 B3>,"[0, 2, 5]","[11, 1, 4]",75,3.50
186.5,<music21.chord.Chord B4 E-4 B3>,"[0, 4]","[11, 3]",75,4.0
187.25,<music21.chord.Chord G4 E-4 B3>,"[0, 4, 8]","[3, 7, 11]",75,0.50
187.5,<music21.chord.Chord E4 G#4 B3>,"[0, 4, 7]","[4, 8, 11]",76,1.0
188.0,<music21.chord.Chord G#4 B4 B3>,"[0, 3]","[8, 11]",76,2.0
188.75,<music21.chord.Chord E5 G#5 B3>,"[0, 4, 7]","[4, 8, 11]",76,3.50
189.0,<music21.chord.Chord E-5 F#5 B3>,"[0, 4, 7]","[11, 3, 6]",76,4.0
189.75,<music21.chord.Chord C#5 E5 B3>,"[0, 2, 5]","[11, 1, 4]",76,0.50
